temperature_outside_high,temperature_outside_low,temperature_inside,barometric_pressure,humidity_outside,humidity_inside,wind_speed,wind_direction_prevailing
26.11,26.06,27.56,1010.09,64.0,57.0,0.0,NONE
26.11,26.06,27.56,1009.99,66.0,57.0,0.0,NONE
26.17,26.06,27.61,1009.79,67.0,59.0,0.0,NONE
26.17,26.11,27.61,1009.58,68.0,59.0,0.0,NONE
26.17,26.11,27.67,1010.02,68.0,60.0,0.0,NONE
26.17,26.11,27.67,1010.36,68.0,60.0,0.0,NONE
26.17,26.11,27.67,1010.57,67.0,60.0,0.0,NONE
26.17,26.06,27.67,1010.23,67.0,59.0,0.0,NONE
26.17,26.06,27.72,1010.06,66.0,59.0,0.0,NONE
26.17,26.06,27.72,1010.5,67.0,59.0,0.0,NONE
26.17,26.11,27.72,1009.99,67.0,60.0,0.0,NONE
26.17,26.11,27.78,1009.92,67.0,60.0,0.0,NONE
26.17,26.11,27.78,1009.72,67.0,60.0,0.0,NONE
26.17,26.11,27.78,1009.58,68.0,60.0,0.0,NONE
26.17,26.11,27.78,1010.13,68.0,60.0,0.0,NONE
26.17,26.11,27.78,1009.86,67.0,60.0,0.0,NONE
26.17,26.17,27.78,1009.89,67.0,60.0,0.0,NONE
26.17,26.17,27.78,1010.26,67.0,60.0,0.0,NONE
26.22,26.17,27.72,1010.23,67.0,60.0,0.0,NONE
26.22,26.17,27.72,1009.96,67.0,60.0,0.0,NONE
26.22,26.17,27.67,1009.72,67.0,60.0,0.0,NONE
26.22,26.17,27.67,1009.35,67.0,60.0,0.0,NONE
26.22,26.17,27.67,1009.21,68.0,61.0,0.0,NONE
26.22,26.17,27.67,1009.11,68.0,61.0,0.0,NONE
26.22,26.17,27.67,1009.21,68.0,61.0,0.0,NONE
26.22,26.17,27.67,1009.42,67.0,60.0,0.0,NONE
26.22,26.17,27.67,1009.45,64.0,60.0,0.0,NONE
26.22,26.17,27.61,1009.48,66.0,60.0,0.0,NONE
26.22,26.17,27.61,1009.58,65.0,60.0,0.0,NONE
26.17,26.17,27.56,1009.48,66.0,60.0,0.0,NONE
26.17,26.17,27.56,1009.65,66.0,60.0,0.0,NONE
26.17,26.17,27.56,1009.69,66.0,60.0,0.0,NONE
26.17,26.17,27.56,1009.86,66.0,60.0,0.0,NONE
26.17,26.11,27.56,1010.4,65.0,59.0,0.0,NONE
26.17,26.11,27.56,1010.84,65.0,59.0,0.0,NONE
26.17,26.11,27.56,1010.36,64.0,59.0,0.0,NONE
26.17,26.11,27.56,1010.13,65.0,60.0,0.0,NONE
26.17,26.11,27.56,1010.43,66.0,60.0,0.0,NONE
26.17,26.11,27.5,1010.02,65.0,60.0,0.0,NONE
26.17,26.11,27.56,1010.09,65.0,60.0,0.0,NONE
26.17,26.11,27.5,1010.06,66.0,60.0,0.0,NONE
26.17,26.11,27.56,1009.96,65.0,60.0,0.0,NONE
26.17,26.11,27.56,1009.79,65.0,60.0,0.0,NONE
26.17,26.11,27.5,1009.79,66.0,60.0,0.0,NONE
26.17,26.11,27.56,1009.58,67.0,60.0,0.0,NONE
26.17,26.11,27.5,1009.25,67.0,60.0,0.0,NONE
26.17,26.11,27.56,1009.38,66.0,60.0,0.0,NONE
26.17,26.11,27.56,1009.01,66.0,60.0,0.0,NONE
26.17,26.11,27.56,1009.11,66.0,60.0,0.0,NONE
26.17,26.11,27.56,1009.11,66.0,60.0,0.0,NONE
26.17,26.11,27.61,1008.94,66.0,60.0,0.0,NONE
26.17,26.11,27.61,1008.87,66.0,60.0,0.0,NONE
26.17,26.11,27.61,1008.91,66.0,60.0,0.0,NONE
26.17,26.11,27.67,1008.87,66.0,60.0,0.0,NONE
26.17,26.11,27.61,1008.81,66.0,60.0,0.0,NONE
26.17,26.11,27.61,1008.84,66.0,60.0,0.0,NONE
26.17,26.11,27.67,1009.04,66.0,60.0,0.0,NONE
26.22,26.17,27.67,1009.04,69.0,61.0,0.0,NONE
26.22,26.17,27.67,1009.11,71.0,63.0,0.0,NONE
26.22,26.17,27.67,1009.28,72.0,63.0,0.0,NONE
26.22,26.17,27.67,1009.21,70.0,64.0,0.0,NONE
26.17,25.94,27.56,1008.94,66.0,60.0,0.0,NONE
26.0,25.61,27.11,1008.77,61.0,57.0,0.0,NONE
25.61,25.06,26.67,1008.74,59.0,54.0,0.0,NONE
25.06,24.56,26.11,1008.4,60.0,55.0,0.0,NONE
24.56,24.06,25.72,1008.43,61.0,55.0,0.0,NONE
24.06,23.83,25.56,1008.4,67.0,59.0,0.0,NONE
23.78,23.61,25.5,1008.6,64.0,57.0,0.0,NONE
23.61,23.39,25.33,1008.77,67.0,58.0,0.0,NONE
23.39,23.33,25.28,1009.04,67.0,60.0,0.0,NONE
23.33,23.17,25.22,1009.04,63.0,57.0,0.0,WNW
23.17,23.0,25.06,1009.18,66.0,57.0,0.0,NONE
23.06,22.94,25.06,1009.18,67.0,59.0,0.0,NONE
23.0,22.89,25.0,1009.11,67.0,58.0,0.0,NONE
22.94,22.89,24.94,1008.84,71.0,61.0,0.0,NONE
22.94,22.89,24.94,1008.87,65.0,57.0,0.0,NONE
22.89,22.78,24.89,1008.91,69.0,59.0,0.0,NONE
22.83,22.78,24.83,1008.94,71.0,62.0,0.0,NONE
22.83,22.78,24.83,1009.01,66.0,59.0,0.0,NONE
22.78,22.72,24.72,1008.87,70.0,60.0,0.0,NONE
22.72,22.67,24.72,1008.74,66.0,59.0,0.0,NONE
22.67,22.61,24.67,1008.77,68.0,59.0,0.0,NONE
22.61,22.56,24.67,1009.21,69.0,61.0,0.0,NONE
22.67,22.61,24.83,1008.47,69.0,60.0,0.0,NONE
22.78,22.67,25.0,1009.18,69.0,60.0,0.0,NONE
22.89,22.72,25.22,1009.25,70.0,60.0,0.0,NONE
22.94,22.83,25.44,1009.28,69.0,59.0,0.0,NONE
23.11,22.94,25.61,1009.21,69.0,59.0,0.0,NONE
23.22,23.11,25.78,1009.25,69.0,59.0,0.0,NONE
23.39,23.22,25.94,1009.14,69.0,59.0,0.0,NONE
23.5,23.33,26.06,1009.11,69.0,59.0,0.0,NONE
23.67,23.5,26.17,1009.01,68.0,58.0,0.0,NONE
23.83,23.67,26.28,1009.21,68.0,59.0,0.0,NONE
23.94,23.83,26.39,1009.04,68.0,58.0,0.0,NONE
24.06,23.94,26.5,1009.18,68.0,58.0,0.0,NONE
24.17,24.06,26.61,1009.14,67.0,58.0,0.0,NONE
24.28,24.17,26.67,1009.14,67.0,58.0,0.0,NONE
24.44,24.28,26.78,1009.04,67.0,58.0,0.0,NONE
24.61,24.44,26.83,1008.91,68.0,58.0,0.0,NONE
24.72,24.56,27.0,1009.21,67.0,58.0,0.0,NONE
24.83,24.72,27.06,1009.11,67.0,58.0,0.0,WNW
